Abide anıt 
Kas adale
Katı sert
Kati kesin
Kayıp yitik
Keder acı
Kelime sözcük
Kenar kıyı
Kent şehir
Kere kez
Kere defa
Kesin kati
Kırmızı al
Kıyı sahil
Kir pislik
Kirli pis
Kişi şahıs
Kocaman iri
Komedi güldürü
Komik gülünç
Kontrol denetim
Konuk misafir
Konut ev
Koşul şart
Kural kaide
Kuruluş müessese
Kuruluş kurum
Kuşku şüphe
Kutsal mukaddes
Kuvvet güç
Kuzey şimal
Küme grup
Küs dargın
Kılavuz rehber
Kolay basit
Laf söz
Lahza an
Lider önder
Lisan dil
Lüzumlu gerekli
Lüzumsuz gereksiz
Lal dilsiz
Lama deve
Lafazan geveze
Mabet tapınak
Macera serüven
Mafsal eklem
Mağlup yenik
Mahalli yerel
Mahcup utangaç
Mahluk yaratık
Mahpushane hapishane
Mahsul ürün
Mana anlam
Manzara görünüm
Matbaa basımevi
Matem yas
Mebus milletvekili
Mecbur zorunlu
Mecmua dergi
Medeni uygar
Medeniyet uygarlık
Mektep okul
Melodi ezgi
Menfaat çıkar
Menfi olumsuz
Menkul taşınır
Meridyen boylam
Mesafe ara
Mesela örneğin
Mesele sorun
Mesken konuk
Meslek iş
Mesul sorumlu
Mesut mutlu
Meşhur ünlü
Meşrubat içecek
Mevcut var
Meydan alan
Millet ulus
Milletvekili mebus
Milli ulusal
Misafir konuk
Misal örnek
Misli katı
Muavin yardımcı
Muharebe savaş
Muhtelif çeşitli
Muştu müjde
Müessese kurum
Müessese kuruluş
Mühim önemli
Mükafat ödül
Müsabaka yarışma
Müsait uygun
Müspet olumlu
Müstahsil üretici
Müstakil bağımsız
Müşteri alıcı
Merkep eşek
Mani engel
Mübarek kutsal
Muallim öğretmen
Mektup name
Merasim tören
Nadir ender
Nakil atama
Nakil taşıma
Nasihat öğüt
Nebat bitki
Neden sebep
Nefes soluk
Nehir ırmak
Nem rutubet
Nesil kuşak
Nesir düzyazı
Neşe sevinç
Netice sonuç
Nispet oran
Nitelik kalite
Noksan eksik
Numune örnek
Nutuk söylev
Nakit para akça
Nakliyeci taşımacı
Namzet aday
Okul mektep
Olanak imkan
Olası mümkün
Olay vaka
Olumlu müspet
Olumsuz menfi
Onarım tamir
Onay tasdik
Onur şeref
Oran nispet
Otlak mera
Oy rey
Ozan şair
Öbek grup
Öbür diğer
Ödenti aidat
Ödlek korkak
Ödül mükafat
Ödün taviz
Öfke hiddet
Öğe unsur
Öğrenci talebe
Öğrenim tahsil
Öğüt nasihat
Ömür hayat yaşam
Önce evvel
Önder lider
Önemli mühim
Öneri teklif
Önlem tedbir
Örgüt teşkilat
Örneğin mesele
Örnek misal
Öteki diğeri
Ötürü dolayı
Öykü hikaye
Özel hususi
Özen itina
Özgün orijinal
Özgür hür
Özlem hasret
Pabuç ayakkabı
Pasif edilgen
Pinti cimri
Pis kirli
Politika siyaset
Rağmen karşın
Rastlantı tesadüf
Rey oy
Rutubet nem
Rüya düş
Rüzgar yel
Problem sorun
Rüştiye ortaokul
Sade yalın
Sağlık sıhhat
Saha alan
Sahil kıyı yalı
Saldırı hücum
Samimi içten
Sanayi endüstri
Sandalye iskemle
Savaş harp
Saz çalgı
Sebep neden
Sene yıl
Sermaye kapital
Serüven macera
Sıçan fare
Sıhhat sağlık
Sır giz
Sima yüz
Siyah kara
Siyaset politika
Son nihayet
Sonuç netice
Sorun mesele
Soylu asil
Sömestri yarıyıl
Söylev nutuk
Sözcük kelime
Sulh barış
Suni yapay
Surat yüz
Sürat hız
Sürekli devamlı
Sevinç mutluluk
Sınıf derslik
Sonbahar güz
Sorumluluk mesuliyet
Sözlük lügat
Sınav imtihan
Şafak tan
Şahıs kişi
Şahit tanık
Şair ozan
Şans talih
Şark doğu
Şart koşul
Şayet eğer
Şef lider
Şef önder
Şehir kent
Şekil biçim
Şen neşeli
Şeref onur
Şöhret ün
Şuur bilinç
Şüphe kuşku
Şaka latife
Tabiat doğa
Tabii doğal
Tabip hekim
Tabip doktor
Talebe öğrenci
Talih şans
Tamir onarım
Tane adet
Tanık şahit
Tanım tarif
Tapınak mabet
Taraf yan
Tarım ziraat
Tarif tanım
Tasdik onay
Tebrik kutlama
Tecrübe deney
Tedbir önlem
Teklif öneri
Tekrar yine
Temel esas
Tercüme çeviri
Tertip düzen
Tesadüf rastlantı
Tesir etki
Toplum cemiyet
Tören merasim
Tuhaf garip
Tutsak esir
Tuvalet hela
Tuvalet wc
Tüm bütün
Tümör ur
Tümce cümle
Tren şimendifer
Tren katar
Tartışma münakaşa
Uçurum yar
Ufak küçük
Uğraş iş
Ulu yüce
Ulus millet
Umumi genel
Umut ümit
Unsur öğe
Us akıl
Uyarı ikaz
Uygar medeni
Uyum ahenk
Uzak ırak
Uzay feza
Uçak tayyare
Usta ehil
Ümit umut
Ünlü meşhur
Ürün mahsul
Üye aza
Ülke memleket
Ülke diyar
Ülkü ideal
Üleş pay
Ürem faiz
Vaka olay
Vakit zaman
Varlıklı zengin
Vasıta araç
Vatan yurt
Vazife görev
Vaziyet durum
Vesika belge
Viraj dönemeç
Vücut gövde
Vilayet il
Veteriner baytar
Yalın sade
Yan taraf
Yanıt cevap
Yapay suni
Yapıt eser
Yar uçurum
Yaratık mahluk
Yardımcı muavin
Yargıç hakim
Yarıyıl sömestri
Yas matem
Yasa kanun
Yaş ıslak
Yaşam hayat
Yaşam ömür
Yaşlı ihtiyar
Yazı ova
Yazım imla
Yekün toplam
Yel rüzgar
Yerel mahalli
Yetenek kabiliyet
Yıl sene
Yine tekrar
Yitik kayıp
Yoksul fakir
Yoksul fukara
Yöntem metot
Yurt vatan
Yüce ulu
Yürek kalp
Yüz surat
Yüz sima
Yüz çehre
Yüzyıl asır
Yemek aş
Zaman vakit
Zarar ziyan
Zengin varlıklı
Zeybek efe
Zıt karşıt
Ziraat tarım
Ziyan zarar
Zor güç
Zorunlu mecburi
Zırnık metelik
Zehir agu
Zabit subay
